Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
V3	Bacteria|1	V3	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
V3	Bacteria|2	V3	-0.000172924087271453	228	39	0.0100173356878954918	0.0104501595020731
V3	Bacteria|3	V3	0.000176541929148173	228	50	0.0200213541203877865	0.020497425392562556
V3	Bacteria|4	V3	0.000233041055999211	228	54	0.0300309255350077782	0.030653147299364275
V3	Bacteria|5	V3	0.000170023412983991	228	28	0.140055803225587723	0.1440982136770343924
V3	Bacteria|6	V3	-0.000129327171064622	228	29	0.2500625257130491581	0.25103167426531111
V3	Bacteria|7	V3	-0.00246205053294096	228	227	0.3620109452336519472	0.36215761136458804
V3	Bacteria|8	V3	-0.000133233647710018	228	28	0.4730115927181414323	0.473158300564965765
V3	Bacteria|9	V3	-0.000390699948289467	228	127	0.5840153721372588625	0.584190230198578424
V3	Bacteria|10	V3	0.000260009506485308	228	110	0.6950180198778634843	0.695211433233598216
