Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	STSiteStool	-0.258471709381982	297	204	3.45919838845225e-166	8.02534026120922e-164
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	STSitePosterior_fornix	-0.261049166635981	297	204	4.22958832642797e-135	4.90632245865644e-133
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	STSiteStool	-0.0336438278067034	297	112	3.11171830769747e-85	2.39063208284818e-83
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella|s__Gemella_haemolysans	STSiteStool	-0.0804646384206839	297	112	4.12177945318651e-85	2.39063208284818e-83
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	STSiteStool	-0.0288940580353175	297	114	3.0297413649466e-80	1.40579999333522e-78
STSite	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus	STSiteStool	-0.00995946977252414	297	112	3.02497990801997e-79	1.16965889776772e-77
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	STSiteStool	-0.032616856475674	297	114	3.52501609824621e-78	1.0802277751816e-76
STSite	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	STSiteStool	-0.1137409109571	297	208	3.72492336269516e-78	1.0802277751816e-76
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	STSiteStool	-0.0328566171953326	297	148	5.22622272325723e-77	1.34720407977298e-75
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	STSiteStool	-0.0371774072358834	297	142	2.74253733493829e-72	6.36268661705683e-71
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	STSiteStool	-0.0174407426736723	297	106	7.62802341734655e-72	1.60881948438582e-70
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	STSiteStool	-0.0153727294643813	297	107	3.09475635254095e-68	5.9831956149125e-67
STSite	k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Leptotrichales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_unclassified	STSiteStool	-0.00771015153517727	297	98	2.78481576384201e-62	4.96982505547189e-61
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	STSitePosterior_fornix	-0.0337197170472626	297	112	1.84155943756877e-61	3.0517270679711e-60
STSite	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae	STSiteStool	-0.0518072244022979	297	107	2.77652057250786e-61	4.29435181881216e-60
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Gemella|s__Gemella_haemolysans	STSitePosterior_fornix	-0.0805078690307544	297	112	3.16060769561675e-61	4.58288115864429e-60
STSite	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	STSitePosterior_fornix	-0.120215299902011	297	208	1.41889958741608e-59	1.93638061341488e-58
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	STSiteStool	-0.0285587451847157	297	191	2.03954945757939e-59	2.62875263421344e-58
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	STSitePosterior_fornix	-0.0289777939224754	297	114	2.21531299689583e-57	2.70501376463069e-56
STSite	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus	STSitePosterior_fornix	-0.0100371093806948	297	112	6.40923581559562e-57	7.43471354609092e-56
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	STSitePosterior_fornix	-0.0338365002560315	297	148	1.16126761659028e-56	1.2829242240426e-55
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_mucosa	STSiteStool	-0.0282084333939906	297	95	3.89373571770775e-56	4.10612130230999e-55
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis	STSiteStool	-0.0110454346497307	297	97	6.12104801842341e-56	6.17427452293144e-55
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	STSitePosterior_fornix	-0.0324576194357838	297	114	4.02465851181046e-55	3.89050322808344e-54
STSite	k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	STSiteStool	-0.0120571554658779	297	96	4.6486297966879e-55	4.31392845132637e-54
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	STSiteStool	0.0427021271608424	297	142	2.00157612649559e-52	1.78602177441145e-51
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	STSitePosterior_fornix	-0.0377190073220572	297	142	1.03883409144093e-51	8.92627811904801e-51
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	STSiteStool	-0.0154194592878609	297	156	1.85122646784086e-51	1.53387335906814e-50
STSite	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	STSitePosterior_fornix	-0.0173681013608267	297	106	4.48889501338512e-50	3.59111601070809e-49
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca	STSiteStool	-0.0244608117148355	297	92	7.49027174271714e-50	5.79247681436792e-49
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	STSiteStool	-0.0196249325682953	297	115	6.94458271186887e-49	5.1972360940438e-48
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	STSiteStool	0.0438835491216327	297	136	8.377635383155e-49	6.07378565278737e-48
STSite	k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Leptotrichales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_hofstadii	STSiteStool	-0.005948675801718	297	83	1.80902719238363e-48	1.27180093525152e-47
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	STSiteStool	-0.0190907862715637	297	87	5.6353408418075e-48	3.84529139793923e-47
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	STSitePosterior_fornix	-0.015403040328817	297	107	1.29023582811622e-47	8.5524203463704e-47
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	STSitePosterior_fornix	-0.0315486494425632	297	191	9.8780477133688e-47	6.36585297083767e-46
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_unclassified	STSiteStool	0.124727747730822	297	200	3.82835719261337e-45	2.4004834288819e-44
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	STSiteStool	0.0495615966212208	297	144	1.68562586287443e-43	1.02911894786018e-42
STSite	k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Leptotrichales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_unclassified	STSitePosterior_fornix	-0.00772605296078825	297	98	6.00403096479392e-43	3.5716286764928e-42
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_torques	STSiteStool	0.0188525616157485	297	139	8.10092943523657e-43	4.69853907243721e-42
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_cf	STSiteStool	0.0219033336982565	297	138	1.97351283376189e-42	1.11671945715307e-41
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	STSiteStool	0.0586957139968667	297	148	3.58262435200922e-42	1.97897345158604e-41
STSite	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae	STSitePosterior_fornix	-0.0518276253108543	297	107	4.4979011186776e-42	2.42677455705396e-41
