	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	V1	Bacteria|1	V1	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
2	V1	Bacteria|2	V1	-0.000172924087271453	228	39	0.00173356878954918	0.04501595020731
3	V1	Bacteria|3	V1	0.000176541929148173	228	50	0.00213541203877865	0.0497425392562556
4	V1	Bacteria|4	V1	0.000233041055999211	228	54	0.00309255350077782	0.0653147299364275
5	V1	Bacteria|5	V1	0.000170023412983991	228	28	0.0055803225587723	0.0982136770343924
6	V1	Bacteria|6	V1	-0.000129327171064622	228	29	0.00625257130491581	0.103167426531111
7	V1	Bacteria|7	V1	-0.00246205053294096	228	227	0.201094523365195	0.215761136458804
8	V2	Bacteria|1	V2	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
9	V2	Bacteria|2	V2	-0.000172924087271453	228	39	0.100173356878955	0.104501595020731
10	V2	Bacteria|3	V2	0.000176541929148173	228	50	0.200213541203878	0.204974253925626
11	V3	Bacteria|1	V3	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
12	V3	Bacteria|2	V3	-0.000172924087271453	228	39	0.0100173356878955	0.0104501595020731
13	V3	Bacteria|3	V3	0.000176541929148173	228	50	0.0200213541203878	0.0204974253925626
14	V3	Bacteria|4	V3	0.000233041055999211	228	54	0.0300309255350078	0.0306531472993643
15	V3	Bacteria|5	V3	0.000170023412983991	228	28	0.140055803225588	0.144098213677034
