Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
V2	Bacteria|1	V2	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
V2	Bacteria|2	V2	-0.000172924087271453	228	39	0.100173356878954918	0.104501595020731
V2	Bacteria|3	V2	0.000176541929148173	228	50	0.200213541203877865	0.20497425392562556
V2	Bacteria|4	V2	0.000233041055999211	228	54	0.300309255350077782	0.30653147299364275
V2	Bacteria|5	V2	0.000170023412983991	228	28	0.40055803225587723	0.440982136770343924
V2	Bacteria|6	V2	-0.000129327171064622	228	29	0.500625257130491581	0.5103167426531111
V2	Bacteria|7	V2	-0.00246205053294096	228	227	0.620109452336519472	0.6215761136458804
V2	Bacteria|8	V2	-0.000133233647710018	228	28	0.730115927181414323	0.73158300564965765
V2	Bacteria|9	V2	-0.000390699948289467	228	127	0.840153721372588625	0.84190230198578424
V2	Bacteria|10	V2	0.000260009506485308	228	110	0.950180198778634843	0.95211433233598216
